"Gericht_Id","Gericht_Bezeichnung","Gericht_Kurzbezeichnung","Gericht_Hoechstgericht","Gericht_Staat","Gericht_Teilrechtsordnung"
250,Efeteio Kerkyras (Corfu Court of Appeal),Corfu CA,0,10,9
251,Eirinodikeio Polykastrou (Polykastro Magistrate's Court),Polykastro MC,0,10,9
252,Efeteio Patras (Patras Court of Appeal) ,CA Patras,0,10,9
253,Ghent Court of Appeal ,Ghent Court of Appeal ,0,2,2
254,Juge de police Dinant,Juge de Police Dinant,0,2,2
255,Tribunal de Première Instance,Tribunal de Première Instance,0,2,2
256,Juge de Police Liège,Juge de Police Liège,0,2,2
257,Tribunale di Aosta,Trib. of Aosta,0,14,12
258,Tribunale Genova,Trib. Genova,0,14,12
259,Judgment of Provincial Court of Biscay,Provincial Court of Biscay,0,24,22
260,Provisional Court of Cantabria,Provisional Court of Cantabria,0,24,22
261,Provisional Court of A Corunna,Provisional Court of A Corunna,0,24,22
262,Provincial Court of Guipuzcoa,Provincial Court of Guipuzcoa,0,24,22
263,Tribunal de Relacao de Évora,Évora Court of Appeal,0,20,18
264,Tribunal da Relacao de Coimbra,Coimbra Court of Appeal,0,20,18
265,Tribunal da Relacao de Porto,Porto Court of Appeal,0,20,18
266,Court of Appeal ,Court of Appeal (Civil Division),0,27,26
267,Privy Concil,Privy Council,0,27,26
268,Court of Appeal (Queen's Bench Division),Court of Appeal (Queen's Bench Division),0,27,26
269,High Court (Queen's Bench Division),High Court (Queen's Bench Division),0,27,26
270,Court of Appeal (Civil Division),Court of Appeal (Civil Division),0,27,26
271,Court of Session (Inner House),Court of Session (Inner House),0,27,27
272,Court of Session (Inner House),"",0,27,27
273,Court of Session,CS,0,27,27
274,Court of Session (Outer House),CoS,0,27,27
275,Exchequer Division,Exch. D. ,0,13,10
276,Circuit Court,CC,0,13,10
277,Højesteret,"",1,4,4
278,Højesteret,Supreme Court,1,4,4
279,Harju Maakohus,Harju County Court,0,5,5
280,Tartu Maakohus,Tartu County Court,0,5,5
281,Pärnu Maakohus,Pärnu County Court,0,5,5
282,Augstakas tiesas Senats,Senate of the Supreme Court,0,15,13
283,Augstakas tiesas Civillietu tiesu palata,The Chamber of Civil Cases of the Supreme Court,0,15,13
284,Kurzemes apgabaltiesa,Kurzemes Regional Court,0,15,13
285,Rigas apgabaltiesa,The Riga Regional Court,0,15,13
286,Zemgales apgabaltiesa,Zemgas Regional Court,0,15,13
