"ENST_Id","ENST_Entscheidung","ENST_Stichwort"
1379,120,217
1380,120,127
1381,120,141
1382,121,13
1383,121,50
1384,121,51
1385,122,69
1386,122,102
1387,122,213
1388,123,225
1389,123,141
1390,123,156
1391,124,218
1392,124,225
1393,124,222
1394,124,141
1395,124,209
1396,124,213
1397,125,140
1398,127,13
1399,128,81
1400,128,69
1401,129,213
1402,129,115
1403,129,148
1404,131,160
1405,133,226
1406,133,82
1407,133,214
1408,134,119
1409,134,214
1410,136,140
1411,138,34
1412,138,220
1413,138,133
1414,138,148
1415,139,34
1416,139,32
1417,139,77
1418,139,83
1419,139,148
1420,139,153
1421,139,192
1422,139,201
1423,139,207
1424,139,209
1425,140,77
1426,140,83
1427,140,111
1428,140,176
1429,140,177
1430,140,201
1431,141,111
1432,141,172
1433,142,32
1434,142,139
1435,142,112
1436,142,156
1437,143,226
1438,143,214
1439,143,70
1440,143,117
1441,143,150
1442,144,237
1443,144,238
1444,144,112
1445,145,237
1446,145,238
1447,145,81
1448,145,86
1449,145,148
1450,146,226
1451,146,240
1452,146,70
1453,146,214
1454,146,119
1455,146,127
1456,146,149
1457,146,155
1458,147,119
1459,147,124
1460,147,158
1461,147,161
1462,147,201
1463,148,218
1464,148,241
1465,148,32
1466,148,224
1467,148,111
1468,148,119
1469,148,213
1470,148,132
1471,148,133
1472,148,148
1473,148,155
1474,148,209
1475,148,201
1476,148,209
1477,148,95
1478,149,241
1479,149,218
1480,149,32
1481,149,95
1482,149,111
1483,149,115
1484,149,132
1485,149,133
1486,149,148
1487,149,155
1488,149,201
1489,149,209
1490,150,218
1491,150,32
1492,150,95
1493,150,119
1494,150,201
1495,150,209
1496,150,82
1497,150,83
1498,150,215
1499,151,127
1500,151,149
1501,151,150
1502,151,201
1503,152,89
1504,152,150
1505,153,79
1506,153,80
1507,153,98
1508,153,127
1509,153,152
1510,154,69
1511,154,105
1512,154,168
1513,154,242
1514,155,13
1515,155,183
1516,155,184
1517,127,183
1518,156,233
1519,156,142
1520,156,187
1521,156,208
1522,157,32
1523,157,142
